pass
AUSMDU00059962
AUSMDU00045242
AUSMDU00059905
AUSMDU00031773
AUSMDU00032374
AUSMDU00059880
AUSMDU00037883
AUSMDU00042251
AUSMDU00056485
AUSMDU00059050
AUSMDU00061589
AUSMDU00012875
AUSMDU00013635
AUSMDU00013752
AUSMDU00014932
AUSMDU00033839
AUSMDU00034751
AUSMDU00039571
AUSMDU00044096
AUSMDU00046188
AUSMDU00052364
AUSMDU00056496
AUSMDU00057065
AUSMDU00059133
AUSMDU00059636
AUSMDU00032095
AUSMDU00041486
AUSMDU00046482
AUSMDU00052228
AUSMDU00042772
AUSMDU00059823
AUSMDU00060939
AUSMDU00062147
AUSMDU00055500
AUSMDU00012533
AUSMDU00031771
AUSMDU00032240
AUSMDU00042666
AUSMDU00045336
AUSMDU00034192
AUSMDU00035937
AUSMDU00039164
AUSMDU00059488
AUSMDU00060588
AUSMDU00060637
AUSMDU00011362
AUSMDU00013890
AUSMDU00032104
AUSMDU00033789
AUSMDU00034103
AUSMDU00037434
AUSMDU00045338
AUSMDU00045350
AUSMDU00047109
AUSMDU00011430
AUSMDU00037964
AUSMDU00057128
AUSMDU00058540
AUSMDU00047547
AUSMDU00010868
AUSMDU00035597
AUSMDU00035879
AUSMDU00038465
AUSMDU00039051
AUSMDU00039900
AUSMDU00034553
AUSMDU00046464
AUSMDU00055632
AUSMDU00056832
AUSMDU00059137
AUSMDU00060774
AUSMDU00054880
AUSMDU00046041
AUSMDU00031396
AUSMDU00031444
AUSMDU00035883
AUSMDU00036220
AUSMDU00040605
AUSMDU00044499
AUSMDU00044995
AUSMDU00055100
AUSMDU00013892
AUSMDU00015380
AUSMDU00033767
AUSMDU00040524
AUSMDU00041588
AUSMDU00044370
AUSMDU00045960
AUSMDU00051499
AUSMDU00056251
AUSMDU00057072
AUSMDU00059882
AUSMDU00061597
AUSMDU00032839
AUSMDU00037741
AUSMDU00038529
AUSMDU00038710
AUSMDU00039049
AUSMDU00040893
AUSMDU00042661
AUSMDU00045085
AUSMDU00048381
AUSMDU00055743
AUSMDU00055804
AUSMDU00056527
AUSMDU00056792
AUSMDU00059952
AUSMDU00062102
AUSMDU00031392
AUSMDU00039311
AUSMDU00014466
AUSMDU00031204
AUSMDU00031394
AUSMDU00050895
AUSMDU00050896
AUSMDU00040070
AUSMDU00040193
AUSMDU00053157
AUSMDU00040767
AUSMDU00057324
AUSMDU00059657
AUSMDU00059846
AUSMDU00060239
AUSMDU00011663
AUSMDU00011924
AUSMDU00011945
AUSMDU00012643
AUSMDU00031568
AUSMDU00037432
AUSMDU00037817
AUSMDU00050897
AUSMDU00054271
AUSMDU00038248
AUSMDU00047103
AUSMDU00055603
AUSMDU00055777
AUSMDU00059601
AUSMDU00040599
AUSMDU00008755
AUSMDU00013488
AUSMDU00038612
AUSMDU00040545
AUSMDU00042851
AUSMDU00046104
AUSMDU00046774
AUSMDU00042269
AUSMDU00056304
AUSMDU00056325
AUSMDU00060616
AUSMDU00061209
AUSMDU00049623
AUSMDU00034116
AUSMDU00035490
AUSMDU00036051
AUSMDU00039971
AUSMDU00044261
AUSMDU00046772
AUSMDU00052619
AUSMDU00034641
AUSMDU00034741
AUSMDU00048310
AUSMDU00056730
AUSMDU00059790
AUSMDU00060499
AUSMDU00061341
AUSMDU00061938
AUSMDU00032148
AUSMDU00039752
AUSMDU00040474
AUSMDU00042720
AUSMDU00044636
AUSMDU00052253
AUSMDU00036332
AUSMDU00039633
AUSMDU00041406
AUSMDU00052579
AUSMDU00058023
AUSMDU00059048
AUSMDU00059969
AUSMDU00060481
AUSMDU00034105
AUSMDU00034450
AUSMDU00041488
AUSMDU00042849
AUSMDU00046665
AUSMDU00053939
AUSMDU00035723
AUSMDU00047972
AUSMDU00057609
AUSMDU00058842
AUSMDU00060661
AUSMDU00036523
AUSMDU00015109
AUSMDU00035175
AUSMDU00040547
AUSMDU00044153
AUSMDU00044194
AUSMDU00046028
AUSMDU00046726
AUSMDU00057607
AUSMDU00032099
AUSMDU00034131
AUSMDU00036356
AUSMDU00040276
AUSMDU00047579
AUSMDU00054879
AUSMDU00056094
AUSMDU00059529
AUSMDU00041855
AUSMDU00034455
AUSMDU00042045
AUSMDU00044446
AUSMDU00045334
AUSMDU00049140
AUSMDU00051624
AUSMDU00011974
AUSMDU00042457
AUSMDU00043604
AUSMDU00056233
AUSMDU00056358
AUSMDU00056569
AUSMDU00057184
AUSMDU00060160
AUSMDU00060615
AUSMDU00061235
AUSMDU00048123
AUSMDU00056812
AUSMDU00062076
AUSMDU00032097
AUSMDU00034753
AUSMDU00047950
AUSMDU00055976
AUSMDU00057306
AUSMDU00058638
AUSMDU00060783
AUSMDU00012959
AUSMDU00058604
AUSMDU00011724
AUSMDU00035125
AUSMDU00038467
AUSMDU00047426
AUSMDU00035497
AUSMDU00035575
AUSMDU00061614
AUSMDU00048967
AUSMDU00059976
AUSMDU00032146
AUSMDU00032382
AUSMDU00037093
AUSMDU00044796
AUSMDU00057997
AUSMDU00039973
AUSMDU00061308
AUSMDU00061631
AUSMDU00033787
AUSMDU00036352
AUSMDU00053250
AUSMDU00055782
AUSMDU00038718
AUSMDU00054530
AUSMDU00051187
AUSMDU00056360
AUSMDU00045082
AUSMDU00045208
AUSMDU00057897
AUSMDU00057627
AUSMDU00035520
AUSMDU00054238
AUSMDU00056878
AUSMDU00056831
AUSMDU00034814
AUSMDU00044978
AUSMDU00040083
AUSMDU00041414
AUSMDU00013764
AUSMDU00032691
AUSMDU00013164
AUSMDU00015143
AUSMDU00042835
AUSMDU00044597
AUSMDU00053619
AUSMDU00055004
AUSMDU00055942
AUSMDU00011896
AUSMDU00014531
AUSMDU00036621
AUSMDU00050899
AUSMDU00011190
AUSMDU00011642
AUSMDU00012597
AUSMDU00012606
AUSMDU00012635
AUSMDU00012964
AUSMDU00015114
AUSMDU00034740
AUSMDU00039486
AUSMDU00041577
AUSMDU00045255
AUSMDU00046172
AUSMDU00051623
AUSMDU00055710
AUSMDU00060249
AUSMDU00061191
AUSMDU00045200
AUSMDU00013483
AUSMDU00013486
AUSMDU00031714
AUSMDU00011618
AUSMDU00011650
AUSMDU00011771
AUSMDU00011948
AUSMDU00012140
AUSMDU00013168
AUSMDU00036347
AUSMDU00039896
AUSMDU00040543
AUSMDU00041134
AUSMDU00041139
AUSMDU00011083
AUSMDU00011644
AUSMDU00011942
AUSMDU00012018
AUSMDU00012103
AUSMDU00012585
AUSMDU00012994
AUSMDU00013208
AUSMDU00013356
AUSMDU00013903
AUSMDU00014920
AUSMDU00015126
AUSMDU00015495
AUSMDU00032233
AUSMDU00036104
AUSMDU00039316
AUSMDU00041342
AUSMDU00043608
AUSMDU00044141
AUSMDU00044381
AUSMDU00045125
AUSMDU00047249
AUSMDU00048231
AUSMDU00048272
AUSMDU00049228
AUSMDU00049505
AUSMDU00051318
AUSMDU00055760
AUSMDU00056663
AUSMDU00056669
AUSMDU00056753
AUSMDU00058004
AUSMDU00059191
AUSMDU00059277
AUSMDU00059302
AUSMDU00060582
AUSMDU00060636
AUSMDU00011608
AUSMDU00011669
AUSMDU00011993
AUSMDU00014874
AUSMDU00032191
AUSMDU00048052
AUSMDU00011778
AUSMDU00011919
AUSMDU00011984
AUSMDU00008761
AUSMDU00011102
AUSMDU00011611
AUSMDU00011628
AUSMDU00012017
AUSMDU00012119
AUSMDU00012121
AUSMDU00012482
AUSMDU00012861
AUSMDU00012877
AUSMDU00013398
AUSMDU00013411
AUSMDU00013503
AUSMDU00013633
AUSMDU00013741
AUSMDU00013758
AUSMDU00014900
AUSMDU00014995
AUSMDU00015013
AUSMDU00015155
AUSMDU00015507
AUSMDU00032873
AUSMDU00035210
AUSMDU00035511
